date;type_jour;total
2021-04-10;SA;34854
2021-04-14;JOVS;63020
2021-04-15;JOVS;64104
2021-04-18;DIJFP;21939
2021-04-24;SA;43126
2021-04-28;JOHV;84961
2021-05-05;JOHV;88210
2021-05-06;JOHV;92364
2021-05-09;DIJFP;27493
2021-05-23;DIJFP;67332
2021-05-28;JOHV;147428
2021-06-01;JOHV;148521
2021-06-04;JOHV;142967
2021-06-13;DIJFP;78229
2021-06-15;JOHV;191009
2021-06-19;SA;121289
2021-06-22;JOHV;191063
2021-06-29;JOHV;204481
2021-07-01;JOHV;228462
2021-07-02;JOHV;194689
2021-07-03;SA;137796
2021-07-06;JOVS;228408
2021-07-18;DIJFP;73579
2021-07-22;JOVS;193901
2021-07-27;JOVS;189487
2021-07-28;JOVS;176770
2021-07-31;SA;98053
2021-08-02;JOVS;141141
2021-08-11;JOVS;129581
2021-08-17;JOVS;133373
2021-08-24;JOVS;161940
2021-08-28;SA;105371
2021-08-31;JOVS;211155
2021-09-04;SA;128344
2021-09-12;DIJFP;83348
2021-09-21;JOHV;251054
2021-09-29;JOHV;249529
2021-09-30;JOHV;257419
2021-10-01;JOHV;226187
2021-10-03;DIJFP;91377
2021-10-09;SA;161726
2021-10-10;DIJFP;94629
2021-10-11;JOHV;244037
2021-10-15;JOHV;227210
2021-10-17;DIJFP;96584
2021-10-18;JOHV;242207
2021-10-25;JOVS;238263
2021-11-07;DIJFP;87570
2021-11-08;JOHV;244990
2021-11-10;JOHV;250097
2021-11-14;DIJFP;85196
