iter	RMSE
336	0.7883859696
337	0.7883170838
338	0.7882571246
339	0.7881999495
340	0.78811441
341	0.788054671
342	0.7879767557
343	0.7878207075
344	0.7877659856
345	0.787640384
346	0.787568137
347	0.7874842445
348	0.7874146039
349	0.7873675064
350	0.7873079396
351	0.7872400864
352	0.7871720757
353	0.7868710121
354	0.7867530211
355	0.7866238662
356	0.7865525548
357	0.7862984253
358	0.7860819313
359	0.7859739697
360	0.78576288
361	0.7856690579
362	0.7856127876
363	0.7855296486
364	0.7854528001
365	0.7852452544
366	0.7851309666
367	0.7850761978
368	0.7850184736
369	0.7849450545
370	0.7848723666
371	0.7848336906
372	0.7847634241
373	0.7845490273
374	0.784474383
375	0.7844265391
376	0.7843587071
377	0.7843138512
378	0.7842456631
379	0.7841512882
380	0.7840417921
381	0.7840002498
382	0.7839376206
383	0.7838630291
384	0.7835795851
385	0.783507061
386	0.7830037203
387	0.7829160304
388	0.7828465231
389	0.7825360439
390	0.7824657509
391	0.7824071248
392	0.78231145
393	0.7822442296
394	0.7821664231
395	0.7820937575
396	0.7820397633
397	0.7819675189
398	0.7819287321
399	0.7818747805
400	0.7818324993
401	0.7817834887
402	0.7817368496
403	0.7815808778
404	0.78148564
405	0.7813687173
406	0.7812660835
407	0.7812003616
408	0.781128764
409	0.7809660582
410	0.7809249348
411	0.7808459374
412	0.7807203387
413	0.7806515399
414	0.7804583614
415	0.7804229234
416	0.7803507419
417	0.7802999636
418	0.7802583945
419	0.7802075969
420	0.7801720382
421	0.7800813431
422	0.7800228519
423	0.7798339071
424	0.7797778472
425	0.7796908371
426	0.7796586753
427	0.7796192643
428	0.7795837994
429	0.7794865409
430	0.7794457729
431	0.7793818057
432	0.779260517
433	0.7792057391
434	0.7790453387
435	0.7789834296
436	0.7789171046
437	0.7788617923
438	0.7787972464
439	0.7787327537
440	0.7786858671
441	0.778629717
442	0.7785944495
443	0.7784469273
444	0.7782503373
445	0.7782055377
446	0.7781554058
447	0.7781019747
448	0.7780642445
449	0.7780383904
450	0.7776878353
451	0.7776430354
452	0.7775701951
453	0.7775317006
454	0.7774778247
455	0.7774358312
456	0.7773841971
457	0.7773379968
458	0.7771948714
459	0.7770811981
460	0.7770498479
461	0.7770047319
462	0.7769545399
463	0.7768921794
464	0.7768206727
465	0.7767733031
466	0.7767224814
467	0.7766821045
468	0.7766127572
469	0.7764604459
470	0.7763776217
471	0.7763173702
472	0.7762808882
473	0.7762239004
474	0.7761167631
475	0.7760838833
476	0.7760262716
477	0.7759728953
478	0.7759408599
479	0.7758960484
480	0.7756934737
481	0.7756562305
482	0.7756176317
483	0.7755705217
484	0.7755314659
485	0.7754871151
486	0.7753978488
487	0.775345299
488	0.7752994554
489	0.7751595806
490	0.7751266678
491	0.7749910724
492	0.7748303664
493	0.7747944974
494	0.7747379987
495	0.7746813596
496	0.7746220345
497	0.7745617755
498	0.7745136834
499	0.7743747428
500	0.7743477812
501	0.7742747034
502	0.7742257486
503	0.7741913121
504	0.7741318418
505	0.7738992087
506	0.7737048449
507	0.7736489537
508	0.7736090525
509	0.7735492484
510	0.7735081607
511	0.7733420014
512	0.7732923817
513	0.773224845
514	0.7731964768
515	0.77315602
516	0.7731091114
517	0.773041666
518	0.7729904576
519	0.7729448841
520	0.7729142172
521	0.7728790915
522	0.7728366109
523	0.7728102318
524	0.7727285249
525	0.7726895442
526	0.7726368995
527	0.7725622445
528	0.7725326993
529	0.7724140356
530	0.7723854622
531	0.7723493975
532	0.7723182309
533	0.7722877911
534	0.772258903
535	0.772232245
536	0.7721682054
537	0.7721445854
538	0.7721016915
539	0.7720437937
540	0.7720078275
541	0.7718518217
542	0.7717918935
543	0.7717632872
544	0.7717136257
545	0.7716825268
546	0.7716507642
547	0.7716081036
548	0.7715552482
549	0.7715152894
550	0.7714560731
551	0.7713471321
552	0.7713063128
553	0.7712479415
554	0.7711733889
555	0.771121538
556	0.7710935816
557	0.7710598445
558	0.7710085588
559	0.770954325
560	0.7709301913
561	0.7709054632
562	0.7708751754
563	0.7708183106
564	0.7707812561
565	0.770757162
566	0.7707310636
567	0.770710682
568	0.7706899691
569	0.7706437212
570	0.7706084643
571	0.7703642304
572	0.7702283428
573	0.7701840455
574	0.7701435084
575	0.7701209221
576	0.7700954883
577	0.770061798
578	0.7699872665
579	0.7699292125
580	0.7698780802
581	0.7698452175
582	0.7697947369
583	0.7697629422
584	0.7697131003
585	0.7696281446
586	0.7696042198
587	0.7695570863
588	0.7695257178
589	0.769466004
590	0.7694330839
591	0.7694010185
592	0.7693671037
593	0.7692462656
594	0.7692175992
595	0.7691887279
596	0.7691576551
597	0.7691403639
598	0.7690733386
599	0.7690472551
600	0.769012452
601	0.7689920666
602	0.7689034072
603	0.7688752192
604	0.7688436268
605	0.7688160705
606	0.7687957526
607	0.7687744945
608	0.7687280451
609	0.7686678723
610	0.7686401261
611	0.7685676663
612	0.7685384445
613	0.7684340232
614	0.7683824595
615	0.7683562874
616	0.7683358154
617	0.7682922607
618	0.7682603155
619	0.7682158368
620	0.7680812033
621	0.7680508958
622	0.767907842
623	0.767801107
624	0.767770751
625	0.7676762143
626	0.7676422304
627	0.7676010609
628	0.7675665223
629	0.7674780243
630	0.7674341142
631	0.7672518566
632	0.7672185049
633	0.7671928059
634	0.767156793
635	0.7671170037
636	0.7670894896
637	0.7670631507
638	0.7670434447
639	0.7670154146
640	0.7669700784
641	0.766950334
642	0.7668886663
643	0.7668360114
644	0.7668157044
645	0.7667885464
646	0.7667562275
647	0.7667286688
648	0.7666935864
649	0.7666725781
650	0.7666395541
651	0.7666036544
652	0.7665674776
653	0.7665399543
654	0.7664909861
655	0.7664719882
656	0.7664000375
657	0.7663742746
658	0.7663494459
659	0.7663228073
660	0.7662942503
661	0.76626841
662	0.7662404165
663	0.7661859298
664	0.7660556795
665	0.7660323077
666	0.7659182044
667	0.7658698635
668	0.7658212504
669	0.7657961882
670	0.7657605825
671	0.765742562
672	0.7657195777
673	0.7656741132
674	0.7656546589
675	0.7656052225
676	0.7655280014
677	0.765498982
678	0.7654740603
679	0.7654446241
680	0.7654212333
681	0.7653935282
682	0.7652860778
683	0.7652656991
684	0.7652472207
685	0.7652223663
686	0.7652010234
687	0.7651808607
688	0.7650910364
689	0.7650620524
690	0.7650332265
691	0.7649165883
692	0.7648779088
693	0.7648070419
694	0.7647765806
695	0.7647274178
696	0.7647125432
697	0.7646801921
698	0.764662915
699	0.7644930574
700	0.7644750989
701	0.7644332347
702	0.764407499
703	0.7643790309
704	0.764354563
705	0.7643265324
706	0.764306564
707	0.7642790226
708	0.7642437089
709	0.7641648679
710	0.7641337193
711	0.7641167123
712	0.7640985651
713	0.7640336462
714	0.7640095462
715	0.7639903836
716	0.7639110191
717	0.7638536501
718	0.7638396037
719	0.7638049124
720	0.7637787775
721	0.7636754915
722	0.7636560822
723	0.7635995484
724	0.7635757564
725	0.763561664
726	0.7635367811
727	0.7635091761
728	0.763460623
729	0.7634249439
730	0.7633970182
731	0.7633557211
732	0.7633364027
733	0.7633079776
734	0.7632869065
735	0.7632591463
736	0.7631975272
737	0.7631742656
738	0.7630936908
739	0.7630640126
740	0.7630151796
741	0.76293309
742	0.7629045897
743	0.7628850963
744	0.762854397
745	0.7628349771
746	0.7628134654
747	0.7627715279
748	0.7625811802
749	0.7625049909
750	0.7624058887
751	0.7623860346
752	0.7623577923
753	0.7623223929
754	0.7623105281
755	0.7622784049
756	0.7622536546
757	0.7622229998
758	0.7622042929
759	0.7621701539
760	0.7621545573
761	0.7621281786
762	0.7621105234
763	0.7620209343
764	0.7619421714
765	0.7619250861
766	0.7619089065
767	0.7618817591
768	0.7618483607
769	0.7618252196
770	0.761805101
771	0.7617794974
772	0.7617257289
773	0.7617078477
774	0.7616781475
775	0.761656299
776	0.7616221424
777	0.7615958039
778	0.7615684273
779	0.761544052
780	0.7615146653
781	0.7614940798
782	0.7614419519
783	0.7614299111
784	0.761408116
785	0.7613937483
786	0.7613739432
787	0.7613572844
788	0.7613356167
789	0.7613110047
790	0.7612475052
791	0.7612309718
792	0.7612089198
793	0.761191905
794	0.7611709804
795	0.7611131732
796	0.761092558
797	0.761071084
798	0.7610407554
799	0.7609756464
800	0.7609511897
801	0.7609256796
802	0.7609018808
803	0.7608624707
804	0.7608287784
805	0.7608015973
806	0.7607824694
807	0.7607538644
808	0.7607094812
809	0.7606850245
810	0.7606604169
811	0.760628392
812	0.7605477711
813	0.7605123846
814	0.7604895705
815	0.7604708754
816	0.7604398586
817	0.7604083521
818	0.7603715247
819	0.760356574
820	0.7603252823
821	0.760303947
822	0.76021807
823	0.7601917271
824	0.7601727923
825	0.7601457691
826	0.7601271918
827	0.7600269638
828	0.7600117206
829	0.7599469548
830	0.7598802136
831	0.759853611
832	0.7598325719
833	0.7597807577
834	0.7597552897
835	0.7597373369
836	0.7596761155
837	0.7596563199
838	0.7596349815
839	0.7596050201
840	0.7595838241
841	0.7595728974
842	0.7595617601
843	0.7595381922
844	0.7595241931
845	0.7594982012
846	0.7594414283
847	0.759422489
848	0.75940794
849	0.7593745891
850	0.7593513816
851	0.7592668528
852	0.7592494959
853	0.759229951
854	0.7592115569
855	0.7591822146
856	0.7591639705
857	0.7591516416
858	0.7591272094
859	0.7591081355
860	0.7590877709
861	0.7590745606
862	0.7590481596
863	0.7590293867
864	0.7590194916
865	0.7589957896
866	0.7589682279
867	0.7589506289
868	0.7589258718
869	0.7588673347
870	0.7588537816
871	0.7588291029
872	0.758793318
873	0.7587739332
874	0.7587432709
875	0.7587210989
876	0.7587017321
877	0.7586862781
878	0.7586729819
879	0.758660403
880	0.758645424
881	0.7586308895
882	0.7586153889
883	0.7586050487
884	0.7585894536
885	0.7585323245
886	0.7585225269
887	0.7585086517
888	0.7584668329
889	0.7584535636
890	0.7584019163
891	0.7583914999
892	0.758370355
893	0.7583547362
894	0.7583418973
895	0.7583265555
896	0.7583104716
897	0.7582790338
898	0.758262076
899	0.7582378404
900	0.7582248914
901	0.7581984256
902	0.758177308
903	0.7581529599
904	0.7581354905
905	0.7581137876
906	0.7581037354
907	0.7580803663
908	0.7580669247
909	0.7580509666
910	0.758023714
911	0.7580105011
912	0.7579951009
913	0.7579776479
914	0.7579523251
915	0.75792074
916	0.7579026364
917	0.7578843551
918	0.757860351
919	0.7578234904
920	0.7578000036
921	0.7577738049
922	0.7577525074
923	0.757730649
924	0.7577061456
925	0.7576478512
926	0.7576083427
927	0.7575880501
928	0.7575625975
929	0.7575418558
930	0.7574890043
931	0.7574691719
932	0.7574547646
933	0.7573533707
934	0.7573219684
935	0.7572746529
936	0.7572594835
937	0.7572400438
938	0.7572260107
939	0.7571974917
940	0.7571503003
941	0.7571313933
942	0.757079202
943	0.7570555807
944	0.7570304283
945	0.7570002751
946	0.7569850264
947	0.7569701435
948	0.7569418976
949	0.756910553
950	0.7568961204
951	0.7568169615
952	0.7567769878
953	0.7567652495
954	0.7567537436
955	0.756735008
956	0.7567244997
957	0.7567147326
958	0.7566867413
959	0.7566747344
960	0.7566564295
961	0.7566352554
962	0.7566257381
963	0.7566091975
964	0.7565218677
965	0.7565078704
966	0.7564412969
967	0.7564302995
968	0.7564155565
969	0.756398138
970	0.7563680562
971	0.7563529311
972	0.7563253376
973	0.7563143144
974	0.7562921937
975	0.7562203557
976	0.7562075841
977	0.7561947405
978	0.7561037156
979	0.7560818448
980	0.7560533085
981	0.7560231481
982	0.7559984419
983	0.7559806149
984	0.7559577624
985	0.755941862
986	0.7559050708
987	0.7558868418
988	0.7558694124
989	0.7558560895
990	0.755842886
991	0.7558243031
992	0.7558078609
993	0.75578684
994	0.7557716196
995	0.7557558252
996	0.7557166778
997	0.7556794391
998	0.7556589921
999	0.7556304786
