iter	Passed	Remaining
403	8614	12708
404	8638	12691
405	8660	12670
406	8682	12650
407	8701	12625
408	8722	12604
409	8744	12583
410	8767	12563
411	8786	12539
412	8809	12521
413	8830	12499
414	8854	12482
415	8874	12458
416	8894	12434
417	8911	12407
418	8929	12381
419	8951	12361
420	8975	12344
421	8996	12322
422	9016	12298
423	9039	12280
424	9059	12256
425	9080	12235
426	9098	12209
427	9117	12185
428	9139	12164
429	9162	12145
430	9180	12120
431	9200	12097
432	9221	12075
433	9240	12051
434	9262	12030
435	9280	12005
436	9301	11983
437	9321	11959
438	9344	11941
439	9365	11919
440	9386	11897
441	9406	11875
442	9426	11852
443	9450	11833
444	9472	11814
445	9492	11791
446	9510	11766
447	9533	11746
448	9553	11724
449	9570	11697
450	9591	11675
451	9610	11651
452	9630	11629
453	9652	11608
454	9672	11585
455	9692	11562
456	9711	11539
457	9733	11519
458	9757	11501
459	9781	11482
460	9801	11459
461	9819	11434
462	9843	11416
463	9868	11400
464	9892	11381
465	9910	11356
466	9929	11332
467	9947	11308
468	9971	11289
469	9995	11271
470	10019	11253
471	10037	11228
472	10056	11204
473	10074	11179
474	10095	11157
475	10112	11132
476	10132	11109
477	10152	11086
478	10172	11064
479	10193	11043
480	10214	11020
481	10234	10998
482	10252	10974
483	10275	10954
484	10296	10933
485	10317	10911
486	10338	10890
487	10356	10865
488	10376	10843
489	10398	10822
490	10416	10798
491	10437	10777
492	10461	10759
493	10479	10734
494	10498	10710
495	10521	10690
496	10544	10671
497	10567	10652
498	10590	10633
499	10615	10615
500	10632	10589
501	10652	10568
502	10672	10545
503	10689	10519
504	10711	10499
505	10731	10477
506	10752	10455
507	10771	10431
508	10790	10409
509	10813	10389
510	10831	10365
511	10856	10347
512	10876	10325
513	10899	10305
514	10916	10280
515	10934	10256
516	10955	10234
517	10976	10213
518	10997	10192
519	11018	10170
520	11037	10147
521	11057	10125
522	11077	10103
523	11096	10079
524	11117	10058
525	11138	10037
526	11158	10015
527	11180	9994
528	11201	9972
529	11222	9951
530	11238	9926
531	11257	9903
532	11281	9884
533	11299	9860
534	11319	9838
535	11337	9814
536	11356	9791
537	11373	9766
538	11393	9745
539	11416	9724
